Driver,PrevLapTimeSeconds,CurrentLapTimeSeconds,EventName,PrevSeason,CurrentSeason,CurrentGridPosition
NOR,103.68278947368421,102.60676363636364,Bahrain Grand Prix,2022,2023,11
OCO,103.03521052631578,102.91624390243902,Bahrain Grand Prix,2022,2023,9
PER,102.95580357142856,99.10040350877193,Bahrain Grand Prix,2022,2023,2
RUS,102.04010714285714,99.87033333333333,Bahrain Grand Prix,2022,2023,6
SAI,102.79266666666666,99.73312280701755,Bahrain Grand Prix,2022,2023,4
STR,103.49924561403509,99.8462807017544,Bahrain Grand Prix,2022,2023,8
TSU,103.0521052631579,100.48431578947368,Bahrain Grand Prix,2022,2023,14
VER,102.75343396226415,98.89010526315789,Bahrain Grand Prix,2022,2023,1
ZHO,102.16107142857143,101.36401785714285,Bahrain Grand Prix,2022,2023,13
ALB,102.14371739130435,100.94432,Saudi Arabian Grand Prix,2022,2023,17
ALO,98.4550625,94.835875,Saudi Arabian Grand Prix,2022,2023,2
BOT,98.26928125,99.02766666666668,Saudi Arabian Grand Prix,2022,2023,14
GAS,100.23285416666666,97.53079591836735,Saudi Arabian Grand Prix,2022,2023,9
HAM,100.37389583333334,95.643625,Saudi Arabian Grand Prix,2022,2023,7
HUL,99.7682765957447,98.90964,Saudi Arabian Grand Prix,2022,2023,10
LEC,96.81834042553193,97.24300000000001,Saudi Arabian Grand Prix,2022,2023,12
MAG,100.1476875,98.79440000000001,Saudi Arabian Grand Prix,2022,2023,13
NOR,100.1001875,99.22678,Saudi Arabian Grand Prix,2022,2023,19
OCO,99.02940425531914,97.4653469387755,Saudi Arabian Grand Prix,2022,2023,6
PER,97.55534042553191,94.24502083333334,Saudi Arabian Grand Prix,2022,2023,1
RUS,98.0222340425532,95.16035416666666,Saudi Arabian Grand Prix,2022,2023,3
SAI,97.14925531914895,97.04638775510205,Saudi Arabian Grand Prix,2022,2023,4
STR,101.48385106382979,97.324,Saudi Arabian Grand Prix,2022,2023,5
VER,96.88470212765958,94.92664583333334,Saudi Arabian Grand Prix,2022,2023,15
ZHO,99.54617021276596,99.01907999999999,Saudi Arabian Grand Prix,2022,2023,11
ALB,92.17120689655172,102.9735,Australian Grand Prix,2022,2023,8
ALO,91.784,85.77373076923078,Australian Grand Prix,2022,2023,4
BOT,90.96036842105264,87.86484313725491,Australian Grand Prix,2022,2023,19
GAS,91.09535087719298,86.08175,Australian Grand Prix,2022,2023,9
HAM,90.18107017543859,87.48888679245283,Australian Grand Prix,2022,2023,3
MAG,91.36842857142857,87.23292,Australian Grand Prix,2022,2023,14
NOR,90.65154385964912,86.56167307692309,Australian Grand Prix,2022,2023,13
OCO,91.86605172413793,86.74915384615385,Australian Grand Prix,2022,2023,11
PER,90.01012280701755,86.38034615384616,Australian Grand Prix,2022,2023,20
RUS,90.06177192982456,93.6108,Australian Grand Prix,2022,2023,2
SAI,99.028,86.09380769230769,Australian Grand Prix,2022,2023,5
STR,91.2201052631579,86.12126923076923,Australian Grand Prix,2022,2023,6
TSU,91.47360714285715,87.79834615384615,Australian Grand Prix,2022,2023,12
VER,91.534,85.46938461538463,Australian Grand Prix,2022,2023,1
ZHO,92.21108620689655,87.85013461538462,Australian Grand Prix,2022,2023,17
ALB,98.99976785714286,93.5281052631579,Miami Grand Prix,2022,2023,11
ALO,98.93473214285714,92.71133333333334,Miami Grand Prix,2022,2023,2
BOT,97.82858181818182,93.50663157894736,Miami Grand Prix,2022,2023,10
GAS,97.57266666666666,93.22650877192983,Miami Grand Prix,2022,2023,5
HAM,97.71621818181818,93.14894736842105,Miami Grand Prix,2022,2023,13
LEC,96.1480925925926,93.17945614035088,Miami Grand Prix,2022,2023,7
MAG,99.19743636363637,93.35414035087719,Miami Grand Prix,2022,2023,4
NOR,96.13953846153846,93.78873684210525,Miami Grand Prix,2022,2023,16
OCO,98.93751785714286,93.26954385964912,Miami Grand Prix,2022,2023,8
PER,97.5192909090909,92.34429824561404,Miami Grand Prix,2022,2023,1
RUS,97.76987272727273,92.83280701754387,Miami Grand Prix,2022,2023,6
SAI,97.43456363636363,92.9079298245614,Miami Grand Prix,2022,2023,3
STR,99.08,93.38587719298245,Miami Grand Prix,2022,2023,18
TSU,96.49224074074074,93.3780701754386,Miami Grand Prix,2022,2023,17
VER,94.91677358490566,92.24984210526316,Miami Grand Prix,2022,2023,9
ZHO,102.17216666666667,93.62598245614036,Miami Grand Prix,2022,2023,14
ALB,92.043796875,81.62535384615384,Spanish Grand Prix,2022,2023,18
ALO,89.9588,80.94040909090909,Spanish Grand Prix,2022,2023,8
BOT,89.40077272727272,81.96743076923076,Spanish Grand Prix,2022,2023,16
GAS,90.48341538461538,81.0828787878788,Spanish Grand Prix,2022,2023,10
HAM,89.31831818181819,80.33378787878787,Spanish Grand Prix,2022,2023,4
LEC,89.69103703703703,81.09634848484849,Spanish Grand Prix,2022,2023,19
MAG,91.455171875,81.78492307692308,Spanish Grand Prix,2022,2023,17
NOR,89.75318181818182,81.66661538461538,Spanish Grand Prix,2022,2023,3
OCO,89.63442424242425,81.01790909090909,Spanish Grand Prix,2022,2023,6
PER,88.69010606060606,80.51139393939394,Spanish Grand Prix,2022,2023,11
RUS,88.9909393939394,80.4595303030303,Spanish Grand Prix,2022,2023,12
SAI,89.17701515151515,80.66118181818182,Spanish Grand Prix,2022,2023,2
STR,90.8124,80.92818181818183,Spanish Grand Prix,2022,2023,5
TSU,90.01723076923076,81.03569696969697,Spanish Grand Prix,2022,2023,15
VER,88.49204545454546,79.96878787878788,Spanish Grand Prix,2022,2023,1
ZHO,91.98467857142857,81.05784848484849,Spanish Grand Prix,2022,2023,13
ALB,95.88040425531915,85.8596103896104,Monaco Grand Prix,2022,2023,13
ALO,91.13414285714286,84.10129487179486,Monaco Grand Prix,2022,2023,2
BOT,91.48973015873015,85.20705194805196,Monaco Grand Prix,2022,2023,15
GAS,90.65195161290323,84.54284615384616,Monaco Grand Prix,2022,2023,7
HAM,91.15574603174603,84.2441282051282,Monaco Grand Prix,2022,2023,5
LEC,89.54141935483871,84.53679487179487,Monaco Grand Prix,2022,2023,6
MAG,105.01852631578947,86.44544927536232,Monaco Grand Prix,2022,2023,17
NOR,90.58950793650794,84.88364935064935,Monaco Grand Prix,2022,2023,10
OCO,91.18044444444445,84.21756410256411,Monaco Grand Prix,2022,2023,3
PER,89.4947741935484,86.59215789473684,Monaco Grand Prix,2022,2023,20
RUS,90.65820634920634,84.40082051282052,Monaco Grand Prix,2022,2023,8
